<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	2338.31	2433.89	2324.03	2366.74	283184	0	3
2024.01.03	2365.44	2386.30	2038.58	2227.10	287026	0	0
2024.01.04	2220.40	2296.95	2197.16	2276.23	268674	0	5
2024.01.05	2276.91	2290.33	2207.30	2247.94	266243	0	0
2024.01.06	2247.94	2278.90	2217.33	2238.91	129923	0	5
2024.01.07	2236.54	2255.37	2218.43	2238.33	111877	0	518
2024.01.08	2233.87	2357.60	2164.32	2335.58	256609	0	34
2024.01.09	2334.25	2366.34	2222.81	2310.94	242785	0	1
2024.01.10	2310.94	2529.78	2310.94	2525.05	314853	0	22
2024.01.11	2512.84	2687.22	2505.94	2600.20	193744	0	10
2024.01.12	2605.15	2717.88	2500.36	2524.59	213393	0	5
2024.01.13	2500.00	2580.68	2454.50	2572.96	158135	0	5
2024.01.14	2569.13	2589.76	2496.22	2525.65	131610	0	5
2024.01.15	2522.12	2551.60	2467.47	2520.01	151960	0	3
2024.01.16	2520.01	2613.92	2496.50	2606.87	302295	0	5
2024.01.17	2605.02	2610.74	2515.18	2524.32	225052	0	5
2024.01.18	2524.32	2546.99	2422.85	2453.43	198694	0	5
2024.01.19	2453.43	2502.36	2411.29	2486.74	208771	0	5
2024.01.20	2481.60	2496.30	2452.18	2463.35	89253	0	5
2024.01.21	2465.36	2481.41	2462.14	2471.68	74121	0	5
2024.01.22	2470.12	2471.21	2302.39	2324.81	330377	0	1
2024.01.23	2318.96	2349.42	2165.08	2200.96	276979	0	3
2024.01.24	2201.21	2262.57	2195.18	2215.09	301124	0	5
2024.01.25	2213.96	2241.51	2169.32	2217.96	320667	0	5
2024.01.26	2216.02	2281.59	2194.47	2258.98	314567	0	1
2024.01.27	2255.63	2282.68	2252.43	2272.26	81644	0	5
2024.01.28	2267.44	2308.36	2246.52	2262.78	138338	0	5
2024.01.29	2256.11	2313.41	2232.80	2306.27	270393	0	3
2024.01.30	2304.46	2391.99	2296.47	2380.33	216534	0	2
2024.01.31	2374.72	2379.00	2262.02	2277.40	300283	0	3
2024.02.01	2268.59	2310.25	2237.84	2302.95	190881	0	2
2024.02.02	2296.90	2323.68	2279.96	2294.95	155866	0	2
2024.02.03	2303.15	2328.02	2291.76	2299.81	168258	0	5
2024.02.04	2299.62	2309.19	2264.80	2299.15	211800	0	5
2024.02.05	2299.74	2336.03	2267.03	2286.04	271322	0	5
2024.02.06	2282.95	2391.88	2282.95	2380.01	267278	0	2
2024.02.07	2367.55	2444.48	2352.02	2430.24	267806	0	5
2024.02.08	2421.66	2463.19	2410.88	2425.08	290323	0	2
2024.02.09	2426.34	2523.95	2417.49	2503.69	324697	0	4
2024.02.10	2500.58	2517.33	2481.56	2511.71	81131	0	5
2024.02.11	2507.52	2540.73	2492.72	2504.38	111273	0	3
2024.02.12	2502.46	2654.13	2471.15	2633.48	305644	0	5
2024.02.13	2635.82	2687.40	2590.50	2633.42	329759	0	1
2024.02.14	2629.58	2789.08	2617.91	2780.73	338825	0	4
2024.02.15	2776.02	2869.38	2762.37	2797.48	221507	0	5
2024.02.16	2800.62	2860.96	2743.60	2792.23	193861	0	5
2024.02.17	2784.60	2812.01	2719.39	2786.85	102247	0	5
2024.02.18	2781.90	2847.44	2765.37	2846.18	125881	0	4
2024.02.19	2847.80	2969.92	2847.51	2967.95	197467	0	5
2024.02.20	2971.20	3006.04	2874.15	2988.71	190296	0	5
2024.02.21	2987.83	3034.14	2868.14	2927.96	178221	0	3
2024.02.22	2917.70	3035.27	2906.28	2984.79	166876	0	1
2024.02.23	2985.18	2992.25	2905.54	2942.21	140389	0	5
2024.02.24	2944.34	3004.97	2905.56	2984.65	119265	0	1
2024.02.25	2988.76	3121.19	2982.48	3109.62	199111	0	3
2024.02.26	3110.43	3199.63	3036.53	3186.34	251155	0	1
2024.02.27	3184.94	3292.82	3166.77	3249.65	298905	0	3
