<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	2338.31	2400.33	2324.03	2380.09	41531	0	5
2024.01.02	04:00:00	2380.09	2394.56	2373.03	2379.38	42335	0	5
2024.01.02	08:00:00	2379.46	2433.89	2375.55	2416.09	46501	0	3
2024.01.02	12:00:00	2416.24	2418.89	2382.06	2399.88	49092	0	5
2024.01.02	16:00:00	2399.79	2405.02	2351.31	2358.40	54796	0	5
2024.01.02	20:00:00	2358.40	2381.23	2341.52	2366.74	48929	0	5
2024.01.03	00:00:00	2365.44	2376.72	2348.00	2374.47	39720	0	5
2024.01.03	04:00:00	2374.60	2386.30	2363.58	2377.47	34637	0	5
2024.01.03	08:00:00	2377.44	2385.80	2357.55	2376.79	38521	0	5
2024.01.03	12:00:00	2376.58	2381.29	2038.58	2225.20	61175	0	0
2024.01.03	16:00:00	2225.20	2246.27	2192.29	2224.88	62949	0	5
2024.01.03	20:00:00	2224.73	2231.02	2186.46	2227.10	50024	0	5
2024.01.04	00:00:00	2220.40	2224.23	2197.16	2207.63	36136	0	5
2024.01.04	04:00:00	2207.74	2246.08	2205.75	2237.94	38140	0	5
2024.01.04	08:00:00	2237.80	2246.97	2213.29	2225.69	43205	0	5
2024.01.04	12:00:00	2225.91	2249.92	2207.19	2239.90	47495	0	5
2024.01.04	16:00:00	2239.82	2292.50	2231.86	2278.39	55659	0	5
2024.01.04	20:00:00	2278.27	2296.95	2270.71	2276.23	48039	0	5
2024.01.05	00:00:00	2276.91	2290.33	2214.34	2240.66	41732	0	5
2024.01.05	04:00:00	2240.45	2254.44	2234.27	2247.87	42500	0	5
2024.01.05	08:00:00	2247.64	2271.32	2241.72	2266.34	40481	0	5
2024.01.05	12:00:00	2266.28	2267.95	2235.04	2249.15	45629	0	5
2024.01.05	16:00:00	2249.10	2254.05	2207.30	2234.05	54852	0	5
2024.01.05	20:00:00	2234.16	2261.77	2225.41	2247.94	41049	0	0
2024.01.06	00:00:00	2247.94	2278.90	2243.82	2257.17	29592	0	5
2024.01.06	04:00:00	2257.35	2260.48	2231.75	2237.64	31659	0	5
2024.01.06	08:00:00	2237.64	2238.06	2217.33	2234.99	19965	0	5
2024.01.06	12:00:00	2240.61	2243.85	2229.54	2235.39	9774	0	5
2024.01.06	16:00:00	2235.39	2251.65	2234.31	2248.18	18474	0	523
2024.01.06	20:00:00	2248.18	2253.63	2233.59	2238.91	20459	0	517
2024.01.07	00:00:00	2236.54	2253.34	2228.47	2239.38	16994	0	519
2024.01.07	04:00:00	2239.38	2249.47	2233.54	2241.66	16918	0	520
2024.01.07	08:00:00	2241.66	2251.39	2228.55	2231.79	18911	0	521
2024.01.07	12:00:00	2231.37	2255.37	2229.07	2250.04	20376	0	522
2024.01.07	16:00:00	2249.73	2253.10	2218.43	2237.29	22758	0	522
2024.01.07	20:00:00	2237.34	2250.14	2233.37	2238.33	15920	0	518
2024.01.08	00:00:00	2233.87	2234.60	2184.71	2202.69	35755	0	60
2024.01.08	04:00:00	2202.62	2206.70	2164.32	2194.45	48338	0	34
2024.01.08	08:00:00	2194.64	2232.46	2192.56	2209.24	30878	0	36
2024.01.08	12:00:00	2209.24	2274.31	2205.62	2264.82	44874	0	146
2024.01.08	16:00:00	2264.82	2306.58	2254.51	2305.46	43218	0	497
2024.01.08	20:00:00	2305.08	2357.60	2303.82	2335.58	53546	0	491
2024.01.09	00:00:00	2334.25	2341.75	2287.22	2307.54	41410	0	14
2024.01.09	04:00:00	2307.85	2316.73	2298.63	2306.95	21719	0	1
2024.01.09	08:00:00	2306.95	2309.49	2283.45	2289.22	36738	0	524
2024.01.09	12:00:00	2289.22	2302.78	2222.81	2272.42	43693	0	534
2024.01.09	16:00:00	2272.42	2280.98	2238.08	2261.93	51166	0	300
2024.01.09	20:00:00	2261.93	2366.34	2241.69	2310.94	48059	0	543
2024.01.10	00:00:00	2310.94	2398.62	2310.94	2374.89	49478	0	528
2024.01.10	04:00:00	2374.89	2391.61	2341.79	2385.09	50996	0	533
2024.01.10	08:00:00	2384.70	2428.31	2360.61	2423.94	50335	0	531
2024.01.10	12:00:00	2422.73	2425.43	2341.17	2375.77	57434	0	539
2024.01.10	16:00:00	2375.93	2455.46	2367.68	2434.17	51996	0	559
2024.01.10	20:00:00	2434.17	2529.78	2409.01	2525.05	54614	0	22
2024.01.11	00:00:00	2512.84	2637.85	2505.94	2564.85	39664	0	575
2024.01.11	04:00:00	2565.11	2627.55	2563.97	2594.46	23653	0	29
2024.01.11	08:00:00	2594.32	2616.85	2570.73	2605.33	21464	0	545
2024.01.11	12:00:00	2605.33	2662.78	2603.85	2634.06	31481	0	564
2024.01.11	16:00:00	2633.86	2687.22	2563.38	2597.33	47798	0	10
2024.01.11	20:00:00	2597.37	2629.42	2584.57	2600.20	29684	0	571
2024.01.12	00:00:00	2605.15	2622.71	2577.39	2590.48	21652	0	561
2024.01.12	04:00:00	2590.40	2612.18	2582.47	2605.53	20023	0	546
2024.01.12	08:00:00	2605.40	2622.37	2581.15	2611.46	28859	0	556
2024.01.12	12:00:00	2611.38	2688.36	2608.28	2670.19	32759	0	542
2024.01.12	16:00:00	2670.19	2717.88	2557.33	2598.11	62142	0	5
2024.01.12	20:00:00	2598.28	2610.93	2500.36	2524.59	47958	0	5
2024.01.13	00:00:00	2500.00	2536.31	2454.50	2524.73	42909	0	5
2024.01.13	04:00:00	2524.74	2556.12	2518.46	2553.46	31416	0	5
2024.01.13	08:00:00	2553.44	2561.21	2541.90	2550.38	12120	0	5
2024.01.13	12:00:00	2542.39	2551.42	2535.96	2542.12	12802	0	5
2024.01.13	16:00:00	2542.13	2572.11	2531.00	2555.95	33282	0	5
2024.01.13	20:00:00	2554.80	2580.68	2551.15	2572.96	25606	0	5
2024.01.14	00:00:00	2569.13	2589.76	2560.58	2569.34	22032	0	5
2024.01.14	04:00:00	2569.25	2571.10	2541.61	2551.82	19757	0	5
2024.01.14	08:00:00	2551.89	2555.42	2539.05	2553.27	15887	0	5
2024.01.14	12:00:00	2553.27	2553.64	2522.47	2532.64	19393	0	5
2024.01.14	16:00:00	2532.66	2545.41	2520.39	2530.05	23075	0	5
2024.01.14	20:00:00	2530.17	2537.04	2496.22	2525.65	31466	0	5
2024.01.15	00:00:00	2522.12	2530.18	2467.47	2504.34	36365	0	5
2024.01.15	04:00:00	2504.34	2518.00	2492.48	2517.37	19267	0	5
2024.01.15	08:00:00	2517.34	2531.96	2501.96	2526.76	19551	0	5
2024.01.15	12:00:00	2526.87	2547.88	2523.98	2537.69	22891	0	5
2024.01.15	16:00:00	2537.15	2539.08	2504.51	2530.61	29612	0	3
2024.01.15	20:00:00	2530.71	2551.60	2518.35	2520.01	24274	0	5
2024.01.16	00:00:00	2520.01	2523.02	2496.50	2512.00	40821	0	5
2024.01.16	04:00:00	2511.73	2539.91	2510.09	2529.13	39797	0	5
2024.01.16	08:00:00	2529.11	2546.74	2519.82	2539.84	50034	0	5
2024.01.16	12:00:00	2539.68	2546.27	2519.48	2523.83	50588	0	5
2024.01.16	16:00:00	2524.07	2578.38	2498.00	2563.03	65773	0	5
2024.01.16	20:00:00	2563.03	2613.92	2553.62	2606.87	55282	0	5
2024.01.17	00:00:00	2605.02	2610.74	2576.41	2578.26	37121	0	5
2024.01.17	04:00:00	2577.95	2581.19	2559.86	2561.34	26904	0	5
2024.01.17	08:00:00	2561.34	2569.50	2534.42	2542.58	35292	0	5
2024.01.17	12:00:00	2542.51	2552.18	2531.13	2541.90	38811	0	5
2024.01.17	16:00:00	2541.90	2573.53	2520.61	2527.47	51674	0	5
2024.01.17	20:00:00	2527.42	2543.67	2515.18	2524.32	35250	0	5
2024.01.18	00:00:00	2524.32	2531.62	2504.48	2520.79	21773	0	5
2024.01.18	04:00:00	2520.68	2536.85	2520.11	2527.41	21151	0	5
2024.01.18	08:00:00	2527.70	2546.99	2525.32	2536.74	23511	0	5
2024.01.18	12:00:00	2536.67	2538.69	2500.58	2513.21	33193	0	5
2024.01.18	16:00:00	2513.09	2533.05	2462.85	2477.42	44465	0	5
2024.01.18	20:00:00	2477.57	2481.81	2422.85	2453.43	54601	0	5
2024.01.19	00:00:00	2453.43	2472.19	2451.88	2460.61	28092	0	5
2024.01.19	04:00:00	2460.78	2466.24	2440.92	2462.75	25807	0	5
2024.01.19	08:00:00	2462.81	2480.79	2456.78	2479.31	25047	0	5
2024.01.19	12:00:00	2479.16	2494.94	2478.12	2494.93	25687	0	5
2024.01.19	16:00:00	2494.69	2498.02	2411.29	2467.64	59450	0	5
2024.01.19	20:00:00	2467.55	2502.36	2457.98	2486.74	44688	0	5
2024.01.20	00:00:00	2481.60	2496.30	2472.87	2487.62	20304	0	5
2024.01.20	04:00:00	2487.34	2487.69	2473.25	2476.02	16608	0	5
2024.01.20	08:00:00	2475.79	2485.17	2475.19	2476.97	7359	0	5
2024.01.20	12:00:00	2469.35	2474.01	2464.96	2470.32	6502	0	5
2024.01.20	16:00:00	2470.24	2472.32	2454.86	2460.23	20212	0	5
2024.01.20	20:00:00	2460.17	2470.58	2452.18	2463.35	18268	0	5
2024.01.21	00:00:00	2465.36	2473.42	2463.15	2467.78	12155	0	5
2024.01.21	04:00:00	2467.85	2479.89	2467.41	2472.27	12397	0	5
2024.01.21	08:00:00	2472.30	2478.80	2465.39	2476.84	9355	0	5
2024.01.21	12:00:00	2476.92	2481.41	2469.50	2478.44	12736	0	5
2024.01.21	16:00:00	2478.32	2480.51	2462.14	2473.04	17247	0	5
2024.01.21	20:00:00	2473.10	2477.10	2463.76	2471.68	10231	0	5
2024.01.22	00:00:00	2470.12	2471.21	2433.04	2437.23	37890	0	1
2024.01.22	04:00:00	2437.48	2444.48	2400.99	2424.83	55168	0	1
2024.01.22	08:00:00	2424.87	2433.71	2382.50	2386.67	53775	0	5
2024.01.22	12:00:00	2386.67	2401.77	2359.82	2385.32	58358	0	5
2024.01.22	16:00:00	2385.57	2389.18	2350.63	2373.38	63399	0	4
2024.01.22	20:00:00	2373.18	2378.85	2302.39	2324.81	61787	0	3
2024.01.23	00:00:00	2318.96	2334.17	2300.50	2331.94	51342	0	5
2024.01.23	04:00:00	2332.16	2349.42	2326.82	2346.13	36698	0	3
2024.01.23	08:00:00	2346.15	2349.10	2209.72	2213.18	56383	0	5
2024.01.23	12:00:00	2213.42	2238.48	2195.96	2197.28	61033	0	5
2024.01.23	16:00:00	2197.28	2229.26	2165.08	2206.12	48317	0	5
2024.01.23	20:00:00	2206.21	2222.65	2178.93	2200.96	23206	0	5
2024.01.24	00:00:00	2201.21	2254.34	2201.21	2221.68	46469	0	5
2024.01.24	04:00:00	2221.69	2231.72	2210.48	2225.57	44610	0	5
2024.01.24	08:00:00	2225.79	2244.44	2218.23	2237.13	48347	0	5
2024.01.24	12:00:00	2237.10	2262.57	2220.75	2226.58	52551	0	5
2024.01.24	16:00:00	2226.58	2243.33	2216.31	2236.07	56340	0	5
2024.01.24	20:00:00	2235.83	2236.67	2195.18	2215.09	52807	0	5
2024.01.25	00:00:00	2213.96	2239.21	2208.70	2212.82	45114	0	5
2024.01.25	04:00:00	2212.65	2220.14	2201.97	2209.40	51673	0	5
2024.01.25	08:00:00	2209.23	2231.83	2208.38	2221.38	45748	0	5
2024.01.25	12:00:00	2221.38	2241.51	2196.71	2204.44	56895	0	5
2024.01.25	16:00:00	2204.37	2214.64	2169.32	2201.59	63189	0	5
2024.01.25	20:00:00	2201.35	2229.31	2201.35	2217.96	58048	0	5
2024.01.26	00:00:00	2216.02	2225.27	2208.68	2222.46	41935	0	5
2024.01.26	04:00:00	2222.43	2236.94	2217.83	2220.09	46580	0	1
2024.01.26	08:00:00	2219.96	2223.37	2194.47	2205.12	46621	0	4
2024.01.26	12:00:00	2205.01	2263.98	2204.28	2239.58	64840	0	3
2024.01.26	16:00:00	2239.54	2281.59	2238.88	2267.99	60778	0	5
2024.01.26	20:00:00	2268.20	2275.78	2250.80	2258.98	53813	0	5
2024.01.27	00:00:00	2255.63	2282.68	2255.63	2270.36	24253	0	5
2024.01.27	04:00:00	2270.46	2276.16	2260.27	2262.46	12979	0	5
2024.01.27	08:00:00	2262.49	2266.52	2252.43	2258.04	8186	0	5
2024.01.27	12:00:00	2265.00	2270.34	2261.76	2267.23	6858	0	5
2024.01.27	16:00:00	2267.29	2274.97	2261.05	2265.22	13682	0	5
2024.01.27	20:00:00	2265.11	2277.58	2262.90	2272.26	15686	0	5
2024.01.28	00:00:00	2267.44	2288.93	2260.95	2278.69	20198	0	5
2024.01.28	04:00:00	2278.64	2308.36	2276.13	2290.82	24612	0	5
2024.01.28	08:00:00	2290.94	2301.75	2277.45	2294.59	21164	0	5
2024.01.28	12:00:00	2294.80	2296.02	2268.44	2278.85	23905	0	5
2024.01.28	16:00:00	2278.80	2286.00	2261.67	2269.28	23996	0	5
2024.01.28	20:00:00	2268.97	2270.22	2246.52	2262.78	24463	0	5
2024.01.29	00:00:00	2256.11	2273.62	2239.00	2264.27	41609	0	5
2024.01.29	04:00:00	2264.27	2277.37	2262.37	2264.54	34702	0	5
2024.01.29	08:00:00	2264.42	2273.10	2253.09	2273.10	36686	0	5
2024.01.29	12:00:00	2273.05	2276.54	2239.16	2243.75	45936	0	3
2024.01.29	16:00:00	2243.49	2313.41	2232.80	2302.41	62227	0	5
2024.01.29	20:00:00	2302.27	2312.74	2291.54	2306.27	49233	0	5
2024.01.30	00:00:00	2304.46	2324.87	2304.01	2314.87	33760	0	2
2024.01.30	04:00:00	2314.78	2327.59	2303.79	2304.87	29831	0	5
2024.01.30	08:00:00	2304.61	2313.50	2300.67	2303.77	27090	0	5
2024.01.30	12:00:00	2303.64	2331.34	2296.47	2305.31	38132	0	5
2024.01.30	16:00:00	2305.20	2381.51	2297.86	2370.05	49612	0	5
2024.01.30	20:00:00	2370.03	2391.99	2363.63	2380.33	38109	0	5
2024.01.31	00:00:00	2374.72	2379.00	2326.54	2331.25	46310	0	5
2024.01.31	04:00:00	2331.04	2344.12	2325.84	2338.01	39391	0	5
2024.01.31	08:00:00	2338.08	2341.94	2307.50	2309.70	41028	0	5
2024.01.31	12:00:00	2309.79	2316.77	2279.25	2310.60	51978	0	5
2024.01.31	16:00:00	2310.53	2349.74	2290.16	2346.80	61206	0	5
2024.01.31	20:00:00	2346.47	2347.69	2262.02	2277.40	60370	0	3
2024.02.01	00:00:00	2268.59	2288.18	2237.84	2243.38	33242	0	2
2024.02.01	04:00:00	2243.26	2266.46	2240.95	2266.17	29847	0	5
2024.02.01	08:00:00	2266.29	2275.51	2262.69	2265.53	22571	0	5
2024.02.01	12:00:00	2265.47	2275.85	2260.89	2269.97	25997	0	5
2024.02.01	16:00:00	2270.08	2310.25	2267.79	2303.46	46452	0	5
2024.02.01	20:00:00	2303.62	2308.61	2290.70	2302.95	32772	0	5
2024.02.02	00:00:00	2296.90	2319.34	2284.26	2305.43	25194	0	5
2024.02.02	04:00:00	2305.33	2307.25	2295.26	2303.23	16477	0	5
2024.02.02	08:00:00	2303.24	2318.90	2302.42	2308.16	22781	0	2
2024.02.02	12:00:00	2308.32	2323.68	2286.82	2289.84	26026	0	5
2024.02.02	16:00:00	2289.79	2322.14	2279.96	2292.17	40946	0	5
2024.02.02	20:00:00	2292.23	2302.55	2285.14	2294.95	24442	0	5
2024.02.03	00:00:00	2303.15	2328.02	2303.15	2324.48	29763	0	5
2024.02.03	04:00:00	2324.51	2325.89	2317.53	2322.84	32497	0	5
2024.02.03	08:00:00	2323.02	2323.37	2312.53	2313.59	17529	0	5
2024.02.03	12:00:00	2302.69	2307.13	2300.52	2305.94	16387	0	5
2024.02.03	16:00:00	2305.93	2311.98	2291.76	2307.90	39637	0	5
2024.02.03	20:00:00	2307.86	2308.07	2295.74	2299.81	32445	0	5
2024.02.04	00:00:00	2299.62	2305.41	2289.59	2303.79	32629	0	5
2024.02.04	04:00:00	2303.85	2305.97	2293.41	2299.17	25414	0	5
2024.02.04	08:00:00	2299.20	2304.05	2285.24	2301.90	37736	0	5
2024.02.04	12:00:00	2301.84	2309.19	2295.70	2303.70	36433	0	5
2024.02.04	16:00:00	2303.43	2306.91	2295.83	2305.28	37729	0	5
2024.02.04	20:00:00	2305.49	2308.68	2264.80	2299.15	41859	0	5
2024.02.05	00:00:00	2299.74	2299.75	2267.03	2280.94	44310	0	5
2024.02.05	04:00:00	2281.09	2297.14	2274.77	2292.89	39353	0	5
2024.02.05	08:00:00	2292.89	2323.34	2291.38	2318.01	39637	0	5
2024.02.05	12:00:00	2318.08	2336.03	2318.01	2327.84	49021	0	5
2024.02.05	16:00:00	2327.84	2331.82	2287.43	2298.77	54462	0	5
2024.02.05	20:00:00	2298.72	2309.64	2280.79	2286.04	44539	0	5
