<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	2338.31	2338.31	2332.49	2333.47	576	0	5
2024.01.02	00:15:00	2333.42	2334.06	2324.03	2330.84	1189	0	5
2024.01.02	00:30:00	2330.77	2335.43	2330.70	2331.77	519	0	5
2024.01.02	00:45:00	2331.70	2336.69	2331.64	2334.63	626	0	5
2024.01.02	01:00:00	2334.63	2343.64	2334.63	2336.72	1884	0	5
2024.01.02	01:15:00	2336.93	2350.81	2334.75	2348.45	2817	0	5
2024.01.02	01:30:00	2348.35	2352.69	2346.03	2348.52	2814	0	5
2024.01.02	01:45:00	2348.52	2353.60	2345.95	2353.46	2331	0	5
2024.01.02	02:00:00	2353.20	2358.88	2348.27	2358.48	3337	0	5
2024.01.02	02:15:00	2358.51	2383.32	2355.17	2372.08	4069	0	5
2024.01.02	02:30:00	2372.26	2385.09	2371.54	2384.49	3464	0	5
2024.01.02	02:45:00	2384.49	2394.01	2378.61	2391.07	3543	0	5
2024.01.02	03:00:00	2390.66	2400.33	2381.98	2381.98	3991	0	5
2024.01.02	03:15:00	2381.98	2394.47	2381.56	2390.08	3447	0	5
2024.01.02	03:30:00	2389.98	2391.48	2379.56	2379.90	3488	0	5
2024.01.02	03:45:00	2379.67	2381.46	2372.14	2380.09	3436	0	5
2024.01.02	04:00:00	2380.09	2383.90	2375.03	2376.46	2981	0	5
2024.01.02	04:15:00	2376.30	2382.92	2376.17	2382.53	2572	0	5
2024.01.02	04:30:00	2382.53	2384.66	2379.82	2383.62	2515	0	5
2024.01.02	04:45:00	2383.59	2384.61	2377.35	2384.44	2714	0	5
2024.01.02	05:00:00	2384.45	2386.10	2373.03	2375.26	3291	0	5
2024.01.02	05:15:00	2375.48	2382.11	2375.04	2379.48	2803	0	5
2024.01.02	05:30:00	2379.57	2384.92	2377.19	2383.39	2692	0	5
2024.01.02	05:45:00	2383.34	2390.66	2382.03	2388.76	2636	0	5
2024.01.02	06:00:00	2388.91	2390.28	2381.97	2385.72	2502	0	5
2024.01.02	06:15:00	2385.53	2385.67	2380.83	2385.19	2476	0	5
2024.01.02	06:30:00	2385.36	2388.67	2382.68	2385.27	2553	0	5
2024.01.02	06:45:00	2385.48	2392.37	2384.65	2389.48	2571	0	5
2024.01.02	07:00:00	2389.34	2394.56	2386.94	2391.28	2570	0	5
2024.01.02	07:15:00	2391.39	2392.98	2389.72	2391.15	2394	0	5
2024.01.02	07:30:00	2391.00	2392.23	2383.03	2383.05	2459	0	5
2024.01.02	07:45:00	2383.11	2383.67	2379.02	2379.38	2606	0	5
2024.01.02	08:00:00	2379.46	2382.83	2375.63	2382.66	2405	0	5
2024.01.02	08:15:00	2382.39	2386.11	2379.37	2382.67	2404	0	5
2024.01.02	08:30:00	2382.58	2383.06	2378.47	2382.24	2103	0	5
2024.01.02	08:45:00	2382.03	2382.78	2375.55	2375.75	1854	0	5
2024.01.02	09:00:00	2375.64	2384.82	2375.63	2382.63	2250	0	5
2024.01.02	09:15:00	2382.64	2389.34	2380.51	2383.19	2544	0	5
2024.01.02	09:30:00	2383.25	2387.65	2379.29	2387.21	2985	0	5
2024.01.02	09:45:00	2387.23	2391.28	2385.31	2387.89	2209	0	5
2024.01.02	10:00:00	2387.89	2394.77	2381.68	2394.36	2875	0	5
2024.01.02	10:15:00	2394.37	2422.35	2394.22	2421.53	4121	0	5
2024.01.02	10:30:00	2421.04	2433.89	2420.52	2429.73	3986	0	5
2024.01.02	10:45:00	2429.73	2433.86	2423.04	2429.01	3789	0	5
2024.01.02	11:00:00	2428.88	2430.55	2420.99	2423.58	3507	0	5
2024.01.02	11:15:00	2423.47	2429.29	2422.16	2425.19	3064	0	5
2024.01.02	11:30:00	2425.27	2426.97	2413.96	2415.96	3139	0	3
2024.01.02	11:45:00	2415.75	2423.44	2413.91	2416.09	3266	0	5
2024.01.02	12:00:00	2416.24	2418.89	2408.56	2414.62	3042	0	5
2024.01.02	12:15:00	2414.75	2415.21	2406.92	2409.61	2896	0	5
2024.01.02	12:30:00	2409.61	2410.26	2401.32	2403.75	2706	0	5
2024.01.02	12:45:00	2403.56	2403.87	2394.31	2400.27	3261	0	5
2024.01.02	13:00:00	2400.05	2404.94	2399.29	2400.36	3244	0	5
2024.01.02	13:15:00	2400.48	2403.33	2396.73	2399.49	2834	0	5
2024.01.02	13:30:00	2399.22	2401.58	2382.06	2385.04	3255	0	5
2024.01.02	13:45:00	2384.79	2394.26	2384.50	2392.91	3420	0	5
2024.01.02	14:00:00	2393.19	2398.04	2391.33	2397.33	3404	0	5
2024.01.02	14:15:00	2397.15	2402.31	2394.75	2401.74	3180	0	5
2024.01.02	14:30:00	2401.84	2406.35	2399.05	2399.18	3336	0	5
2024.01.02	14:45:00	2398.98	2401.08	2384.09	2388.16	3630	0	5
2024.01.02	15:00:00	2388.13	2394.49	2383.62	2394.15	3017	0	5
2024.01.02	15:15:00	2394.09	2398.05	2390.03	2396.43	2838	0	5
2024.01.02	15:30:00	2396.31	2400.86	2395.85	2399.66	2414	0	5
2024.01.02	15:45:00	2399.66	2402.91	2394.98	2399.88	2615	0	5
2024.01.02	16:00:00	2399.79	2405.02	2398.28	2402.18	2693	0	5
2024.01.02	16:15:00	2402.47	2403.99	2389.88	2394.35	2917	0	5
2024.01.02	16:30:00	2394.48	2394.66	2378.73	2386.90	3762	0	5
2024.01.02	16:45:00	2386.80	2386.80	2358.25	2369.59	4167	0	5
2024.01.02	17:00:00	2369.51	2372.97	2361.48	2364.39	3798	0	5
2024.01.02	17:15:00	2364.59	2366.59	2353.94	2360.44	4147	0	5
2024.01.02	17:30:00	2360.62	2371.48	2356.46	2370.74	3610	0	5
2024.01.02	17:45:00	2370.57	2370.86	2358.60	2359.83	3366	0	5
2024.01.02	18:00:00	2359.83	2363.01	2352.00	2355.95	3507	0	5
2024.01.02	18:15:00	2355.95	2362.88	2351.31	2362.30	3754	0	5
2024.01.02	18:30:00	2362.38	2366.48	2359.09	2365.23	3182	0	5
2024.01.02	18:45:00	2365.32	2371.23	2362.35	2369.67	3337	0	5
2024.01.02	19:00:00	2369.63	2369.81	2362.60	2363.84	2950	0	5
2024.01.02	19:15:00	2363.85	2368.94	2361.54	2363.25	2966	0	5
2024.01.02	19:30:00	2363.25	2363.25	2352.46	2357.93	3480	0	5
2024.01.02	19:45:00	2357.65	2364.72	2353.60	2358.40	3160	0	5
2024.01.02	20:00:00	2358.40	2368.93	2356.16	2358.12	3379	0	5
2024.01.02	20:15:00	2358.34	2365.68	2357.17	2364.11	3145	0	5
2024.01.02	20:30:00	2364.37	2370.97	2363.25	2363.42	2900	0	5
2024.01.02	20:45:00	2363.37	2370.63	2363.01	2366.84	2630	0	5
2024.01.02	21:00:00	2366.98	2373.75	2365.67	2371.39	2888	0	5
2024.01.02	21:15:00	2371.52	2373.83	2355.94	2361.26	3212	0	5
2024.01.02	21:30:00	2361.30	2368.64	2358.10	2361.62	3143	0	5
2024.01.02	21:45:00	2361.62	2372.95	2360.94	2370.15	2880	0	5
2024.01.02	22:00:00	2370.05	2378.73	2364.06	2377.12	3051	0	5
2024.01.02	22:15:00	2377.11	2381.23	2368.67	2370.14	2959	0	5
2024.01.02	22:30:00	2370.09	2370.44	2361.97	2363.95	3009	0	5
2024.01.02	22:45:00	2363.77	2372.13	2359.54	2360.50	3259	0	5
2024.01.02	23:00:00	2360.65	2363.65	2341.52	2361.00	3998	0	5
2024.01.02	23:15:00	2360.94	2362.13	2352.16	2353.09	3205	0	5
2024.01.02	23:30:00	2352.97	2362.07	2352.90	2359.82	2652	0	5
2024.01.02	23:45:00	2359.59	2366.91	2358.35	2366.74	2619	0	5
2024.01.03	00:00:00	2365.44	2374.20	2362.99	2371.21	1983	0	5
2024.01.03	00:15:00	2371.05	2373.20	2366.61	2367.65	2443	0	5
2024.01.03	00:30:00	2367.38	2367.75	2359.22	2361.33	1366	0	5
2024.01.03	00:45:00	2361.33	2365.73	2358.56	2360.35	1286	0	5
2024.01.03	01:00:00	2360.64	2361.22	2353.65	2356.13	2868	0	5
2024.01.03	01:15:00	2356.13	2363.41	2354.85	2360.68	2431	0	5
2024.01.03	01:30:00	2360.53	2364.83	2356.39	2357.05	2888	0	5
2024.01.03	01:45:00	2356.90	2361.01	2351.96	2357.02	2353	0	5
2024.01.03	02:00:00	2357.06	2364.79	2355.69	2362.53	2832	0	5
2024.01.03	02:15:00	2362.34	2363.59	2348.00	2353.14	2889	0	5
2024.01.03	02:30:00	2352.93	2364.37	2351.64	2364.09	2820	0	5
2024.01.03	02:45:00	2364.11	2368.67	2359.01	2362.60	3053	0	5
2024.01.03	03:00:00	2362.52	2368.05	2361.21	2366.15	2840	0	5
2024.01.03	03:15:00	2366.20	2370.16	2363.48	2369.12	2649	0	5
2024.01.03	03:30:00	2369.24	2371.71	2366.72	2370.55	2549	0	5
2024.01.03	03:45:00	2370.45	2376.72	2369.18	2374.47	2470	0	5
2024.01.03	04:00:00	2374.60	2386.30	2373.13	2379.36	3152	0	5
2024.01.03	04:15:00	2379.35	2380.11	2375.20	2377.71	2743	0	5
2024.01.03	04:30:00	2377.43	2381.04	2370.14	2372.81	2749	0	5
2024.01.03	04:45:00	2372.72	2372.72	2368.31	2370.19	1915	0	5
2024.01.03	05:00:00	2370.30	2372.08	2365.31	2367.97	2372	0	5
2024.01.03	05:15:00	2367.88	2370.65	2367.25	2369.45	1984	0	5
